title,url,DIS_price,pre_price
Experience Entertainment in High Definition with the AZWA 32 Inch Ultra SLIM HD LED TV - Black - Offering value and flexibility,https://www.daraz.com.bd/products/experience-entertainment-in-high-definition-with-the-azwa-32-inch-ultra-slim-hd-led-tv-black-offering-value-and-flexibility-i125430175-s1597439480.html?search=1,"৳ 10,230","৳ 16,000"
Sony Plus 32'' 4k Supported Android Smart Television Wi-Fi Hd Led Tv 4k Supported Ram 2 gb Rom 16 gb,https://www.daraz.com.bd/products/sony-plus-32-4k-supported-android-smart-television-wi-fi-hd-led-tv-4k-supported-ram-2-gb-rom-16-gb-i123393682-s1043515925.html?search=1,"৳ 12,890","৳ 19,900"
Triton 32'' WiFi-SMART Android-Voice Control 4K LED TV (2GB RAM + 16GB ROM): Simplify Entertainment with Ease,https://www.daraz.com.bd/products/triton-32-wifi-smart-android-voice-control-4k-led-tv-2gb-ram-16gb-rom-simplify-entertainment-with-ease-i132016004-s1597436756.html?search=1,"৳ 15,090","৳ 22,000"
Sony Plus 32 Inch HD LED 4k Supported Basic TV,https://www.daraz.com.bd/products/sony-plus-32-inch-hd-led-4k-supported-basic-tv-i131874037-s1052422562.html?search=1,"৳ 11,450","৳ 18,500"
32-Inch LED Smart TV - 4K Supported Android (4GB RAM and 8GB ROM),https://www.daraz.com.bd/products/32-inch-led-smart-tv-4k-supported-android-4gb-ram-and-8gb-rom-i117938659-s1037320190.html?search=1,"৳ 13,977","৳ 17,500"
Rowa 43U62 43 Inch 4K Android Google Smart TV,https://www.daraz.com.bd/products/rowa-43u62-43-inch-4k-android-google-smart-tv-i324210650-s1552109609.html?search=1,"৳ 33,989","৳ 49,900"
"INDEX 32"" Smart Frameless Voice Control Led TV",https://www.daraz.com.bd/products/index-32-led-i249144502-s1195537633.html?search=1,"৳ 12,900","৳ 22,500"
Vikan 32 Inch TV Ram 2GB Rom 16 GB Android Smart Wi-Fi HD LED TV 4K Supported Television Android version 11.0 Built-In,https://www.daraz.com.bd/products/vikan-32-ram-2gb-rom-16-gb-wi-fi-hd-led-4k-110-i888111-s3666215.html?search=1,"৳ 12,899","৳ 20,000"
MME 32 FHD Android Smart TV Play Store Supported,https://www.daraz.com.bd/products/mme-32-fhd-android-smart-tv-play-store-supported-i269585292-s1241305223.html?search=1,"৳ 12,726","৳ 26,900"
Sony Plus 40 Inch Basic Tv Hd Led Tv 4k Video Supported,https://www.daraz.com.bd/products/sony-plus-40-hd-led-4k-i185886667-s1131827841.html?search=1,"৳ 16,900","৳ 35,000"
VIKAN 24 INC LED TV 4K VIDEO SUPPORTED,https://www.daraz.com.bd/products/vikan-24-inc-led-tv-4k-supported-i2414187-s62529798.html?search=1,"৳ 8,723","৳ 17,000"
High-quality 24 Inch Hd Basic Led Tv - Basic TV,https://www.daraz.com.bd/products/24-hd-led-i288075834-s1288192547.html?search=1,"৳ 8,249","৳ 14,789"
"KuGou 32"" TV FHD Frameless Voice Control Android Smart TV",https://www.daraz.com.bd/products/kugou-32-tv-fhd-frameless-voice-control-android-smart-tv-i265468165-s1237173526.html?search=1,"৳ 14,640","৳ 25,900"
"Sony Plus 43"" Smart Android Frameless 4K Supported Led TV",https://www.daraz.com.bd/products/sony-plus-43-4k-led-i110792035-s1027780078.html?search=1,"৳ 21,489","৳ 65,000"
ROWA 43U62 43 Inch 4K Android Smart Google TV Ultra HD 3840 x 2160 Pixels Resolution Television,https://www.daraz.com.bd/products/rowa-43u62-43-inch-4k-android-smart-google-tv-ultra-hd-3840-x-2160-pixels-resolution-television-i286964614-s1285860025.html?search=1,"৳ 34,990","৳ 51,900"
MANGO Smart TV 32 TV Borderless LED Smart TV (MG32FW1),https://www.daraz.com.bd/products/mango-mg32fw1-32-inch-borderless-led-smart-tv-i182520236-s1126347944.html?search=1,"৳ 20,490","৳ 37,700"
SP VOICE CONTROL 2GB RAM and 16GB ROM 32 inches Wi-Fi Android Smart LED TV,https://www.daraz.com.bd/products/sp-2gb-ram-16gb-rom-32-wi-fi-led-i279408071-s1264094351.html?search=1,"৳ 13,622","৳ 22,000"
24 Inch LED Smart TV 4K Supported - 2GB RAM/16GB ROM,https://www.daraz.com.bd/products/24-inch-led-smart-tv-4k-supported-2gb-ram16gb-rom-i101220080-s1015196213.html?search=1,"৳ 9,633","৳ 12,700"
Inova 24 HD Slim Body 4k Supported LED TV - Black,https://www.daraz.com.bd/products/inova-24-hd-slim-body-4k-supported-led-tv-black-i2414201-s62529827.html?search=1,"৳ 8,450","৳ 17,000"
"TRITON 32"" Frame Less Smart LED Voice conntrol new 2022 TV Android",https://www.daraz.com.bd/products/triton-32-led-2022-i261359400-s1405661704.html?search=1,"৳ 15,679","৳ 29,999"
Vikan Double Glass tv Hd Led Tv 32 inch Black,https://www.daraz.com.bd/products/vikan-double-glass-tv-hd-led-tv-32-inch-black-i228486-s1118454.html?search=1,"৳ 11,900","৳ 20,000"
Sony Plus TV 32 Inch HD LED TV 4k Supported Basic Television (Resolution 1080P 1366 x 768),https://www.daraz.com.bd/products/sony-plus-tv-32-inch-hd-led-tv-4k-supported-basic-television-resolution-1080p-1366-x-768-i131864974-s1052430185.html?search=1,"৳ 11,450","৳ 18,500"
